english,hindi,link
Storage,भंडारण,https://farmer.gov.in/Storage_Coldstores_Rpt.aspx
Kodo Millet,कोडो बाजरा,https://vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-and-millets/finger-millet-and-kodo-millet
Hedge cutter,हेज कटर,https://en.wikipedia.org/wiki/Flail_mower
Agricultural cycle,कृषि चक्र,https://en.wikipedia.org/wiki/Agricultural_cycle
Spinning mule,कताई खच्चर,https://en.wikipedia.org/wiki/Spinning_mule
Melon,खरबूज,"https://www.agrifarming.in/cantaloupe-farming#:~:text=Mound%20Method%3A%20In%20this%20method,with%202%20percent%20of%20HCL."
Mango,आम,https://agricoop.nic.in/sites/default/files/Mango%20Cultivation%20%281%29.pdf
Liquid manure fertilizer,तरल खाद उर्वरक,https://en.wikipedia.org/wiki/Organic_fertilizer
Shrub,झाड़ी,https://en.wikipedia.org/wiki/Shrub
Tobacco,तंबाकू,https://www.who.int/news-room/fact-sheets/detail/tobacco
Aquaculture,मत्स्य पालन,https://en.wikipedia.org/wiki/Aquaculture
Tea estates in India‎,भारत में चाय सम्पदा‎,https://www.indianholiday.com/blog/10-best-tea-plantations-in-india/
Manure,खाद,https://en.wikipedia.org/wiki/Manure
Alligator farming,मगरमच्छ की खेती,https://en.wikipedia.org/wiki/Alligator_farm
Types of Fishes in India-- describe all types,भारत में मछलियों के प्रकार-- सभी प्रकारों का वर्णन करें,https://nfdb.gov.in/PDF/Fish%20&%20Fisheries%20of%20India/1.Fish%20and%20Fisheries%20of%20India.pdf
Honey extraction,शहद निकालना,https://en.wikipedia.org/wiki/Honey_extraction
Financial aid for farmers,किसानों के लिए आर्थिक सहायता,https://www.thehindu.com/news/national/kerala/financial-aid-to-farmers/article31672080.ece
Deforestation effects,वनों की कटाई के प्रभाव,https://www.wwf.org.uk/learn/effects-of/deforestation
Cashew nut,काजू,https://agritech.tnau.ac.in/horticulture/horti_plantation%20crops_cashewnut.html
Rice huller,चावल की पतवार,https://en.wikipedia.org/wiki/Rice_huller
Life insurance,बीमा,https://en.wikipedia.org/wiki/Life_insurance
Life insurance,बीमा,https://en.wikipedia.org/wiki/Life_insurance
Day trading,दिन में कारोबार,https://en.wikipedia.org/wiki/Day_trading
Day trading,दिन में कारोबार,https://en.wikipedia.org/wiki/Day_trading
Pet insurance,पालतू बीमा,https://en.wikipedia.org/wiki/Pet_insurance
Pet insurance,पालतू बीमा,https://en.wikipedia.org/wiki/Pet_insurance
Private investors,निजी निवेशक,https://en.wikipedia.org/wiki/Private_investors
Private investors,निजी निवेशक,https://en.wikipedia.org/wiki/Private_investors
Fixed capital,अचल पूंजी,https://en.wikipedia.org/wiki/Financial_capital#Fixed_capital
Fixed capital,अचल पूंजी,https://en.wikipedia.org/wiki/Financial_capital#Fixed_capital
SBI,स्टेट बैंक ऑफ इंडिया,https://en.wikipedia.org/wiki/Banking_in_India#SBI
SBI,स्टेट बैंक ऑफ इंडिया,https://en.wikipedia.org/wiki/Banking_in_India#SBI
Financial crime,वित्तीय अपराध,https://en.wikipedia.org/wiki/Financial_crime
Financial crime,वित्तीय अपराध,https://en.wikipedia.org/wiki/Financial_crime
Economic system,आर्थिक प्रणाली,https://en.wikipedia.org/wiki/Economic_system
Economic system,आर्थिक प्रणाली,https://en.wikipedia.org/wiki/Economic_system
Mahatma Gandhi National Rural Employment Guarantee Act,महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी अधिनियम,https://en.wikipedia.org/wiki/Mahatma_Gandhi_National_Rural_Employment_Guarantee_Act
Mahatma Gandhi National Rural Employment Guarantee Act,महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी अधिनियम,https://en.wikipedia.org/wiki/Mahatma_Gandhi_National_Rural_Employment_Guarantee_Act
Liability insurance,दायित्व बीमा,https://en.wikipedia.org/wiki/Liability_insurance
Liability insurance,दायित्व बीमा,https://en.wikipedia.org/wiki/Liability_insurance
Term Loans,सावधि ऋण,https://en.wikipedia.org/wiki/Term_loan
Term Loans,सावधि ऋण,https://en.wikipedia.org/wiki/Term_loan
Types of borrowers: Governments,उधारकर्ताओं के प्रकार: सरकारें,https://en.wikipedia.org/wiki/Debt#Governments
Types of borrowers: Governments,उधारकर्ताओं के प्रकार: सरकारें,https://en.wikipedia.org/wiki/Debt#Governments
Shareholder,शेयरहोल्डर,https://en.wikipedia.org/wiki/Shareholder
Shareholder,शेयरहोल्डर,https://en.wikipedia.org/wiki/Shareholder
Debit/Credit Cards,डेबिट/क्रेडिट कार्ड,https://www.investopedia.com/articles/personal-finance/050214/credit-vs-debit-cards-which-better.asp
Debit/Credit Cards,डेबिट/क्रेडिट कार्ड,https://www.investopedia.com/articles/personal-finance/050214/credit-vs-debit-cards-which-better.asp
Stock markets,शेयर बाजार,https://en.wikipedia.org/wiki/Stock_market
Stock markets,शेयर बाजार,https://en.wikipedia.org/wiki/Stock_market
Export,निर्यात,https://en.wikipedia.org/wiki/Export
Export,निर्यात,https://en.wikipedia.org/wiki/Export
Open new FD/RD/tax saver deposits,नई FD/RD/टैक्स सेवर डिपॉजिट खोलें,https://cleartax.in/s/fixed-deposits
Open new FD/RD/tax saver deposits,नई FD/RD/टैक्स सेवर डिपॉजिट खोलें,https://cleartax.in/s/fixed-deposits
Equity,इक्विटी,https://en.wikipedia.org/wiki/Security_(finance)#Equity
Equity,इक्विटी,https://en.wikipedia.org/wiki/Security_(finance)#Equity
Convert RD to FD on maturity,मैच्योरिटी पर RD को FD में बदलें,https://www.paisabazaar.com/fixed-deposit/fixed-deposit-vs-recurring-deposit-which-is-the-better-option/
Convert RD to FD on maturity,मैच्योरिटी पर RD को FD में बदलें,https://www.paisabazaar.com/fixed-deposit/fixed-deposit-vs-recurring-deposit-which-is-the-better-option/
Make monthly installment/repay loan,मासिक किस्त करें/ऋण चुकाएं,https://www.fullertonindia.com/knowledge-center/repay-personal-loan.aspx
Make monthly installment/repay loan,मासिक किस्त करें/ऋण चुकाएं,https://www.fullertonindia.com/knowledge-center/repay-personal-loan.aspx
Long (finance),लंबा (वित्त),https://en.wikipedia.org/wiki/Long_(finance)
Long (finance),लंबा (वित्त),https://en.wikipedia.org/wiki/Long_(finance)
Block and replace card,कार्ड को ब्लॉक करें और बदलें,https://www.sbicard.com/en/faq/lost-stolen-reissue-replace-cards.page
Block and replace card,कार्ड को ब्लॉक करें और बदलें,https://www.sbicard.com/en/faq/lost-stolen-reissue-replace-cards.page
Foundation (non-profit),फाउंडेशन (गैर-लाभकारी),https://en.wikipedia.org/wiki/Foundation_(non-profit)
Foundation (non-profit),फाउंडेशन (गैर-लाभकारी),https://en.wikipedia.org/wiki/Foundation_(non-profit)
Arbitrage,पंचायत,https://en.wikipedia.org/wiki/Arbitrage
Arbitrage,पंचायत,https://en.wikipedia.org/wiki/Arbitrage
Digital financial services,डिजिटल वित्तीय सेवाएं,https://www.afi-global.org/thematic-areas/dfs/
Digital financial services,डिजिटल वित्तीय सेवाएं,https://www.afi-global.org/thematic-areas/dfs/
International Organization for Standardization,अंतरराष्ट्रीय मानकीकरण संगठन,https://en.wikipedia.org/wiki/International_Organization_for_Standardization
International Organization for Standardization,अंतरराष्ट्रीय मानकीकरण संगठन,https://en.wikipedia.org/wiki/International_Organization_for_Standardization
National Electronic Fund Transfer (NEFT),राष्ट्रीय इलेक्ट्रॉनिक फंड ट्रांसफर (एनईएफटी),https://en.wikipedia.org/wiki/National_Electronic_Funds_Transfer
National Electronic Fund Transfer (NEFT),राष्ट्रीय इलेक्ट्रॉनिक फंड ट्रांसफर (एनईएफटी),https://en.wikipedia.org/wiki/National_Electronic_Funds_Transfer
Institutional investors,संस्थागत निवेशक,https://en.wikipedia.org/wiki/Institutional_investor
Institutional investors,संस्थागत निवेशक,https://en.wikipedia.org/wiki/Institutional_investor
Research funding,अनुसंधान निधीकरण,https://en.wikipedia.org/wiki/Research_funding
Research funding,अनुसंधान निधीकरण,https://en.wikipedia.org/wiki/Research_funding
Sources of financing,वित्तपोषण के स्रोत,https://en.wikipedia.org/wiki/Capital_structure
Sources of financing,वित्तपोषण के स्रोत,https://en.wikipedia.org/wiki/Capital_structure
Money markets,मुद्रा बाजार,https://en.wikipedia.org/wiki/Money_market
Money markets,मुद्रा बाजार,https://en.wikipedia.org/wiki/Money_market
Over-investing,अधिक निवेश,https://en.wikipedia.org/wiki/Over-investing
Over-investing,अधिक निवेश,https://en.wikipedia.org/wiki/Over-investing
Types of capital,पूंजी के प्रकार,https://en.wikipedia.org/wiki/Financial_capital#Types_of_capital
Types of capital,पूंजी के प्रकार,https://en.wikipedia.org/wiki/Financial_capital#Types_of_capital
Fees and effective,शुल्क और प्रभावी,https://en.wikipedia.org/wiki/Tax#Fees_and_effective
Fees and effective,शुल्क और प्रभावी,https://en.wikipedia.org/wiki/Tax#Fees_and_effective
Cost,लागत,https://en.wikipedia.org/wiki/Cost
Cost,लागत,https://en.wikipedia.org/wiki/Cost
Bankers' bank,बैंकरों का बैंक,https://en.wikipedia.org/wiki/Bankers%27_bank
Bankers' bank,बैंकरों का बैंक,https://en.wikipedia.org/wiki/Bankers%27_bank
"Apply/request for gold loan/personal loan/ agriculture loan/ home/two-wheeler/car loan online,","गोल्ड लोन/व्यक्तिगत ऋण/कृषि ऋण/घर/दोपहिया/कार ऋण के लिए ऑनलाइन आवेदन/अनुरोध करें,",https://www.unionbankofindia.co.in/english/agriculture-loan.aspx
"Apply/request for gold loan/personal loan/ agriculture loan/ home/two-wheeler/car loan online,","गोल्ड लोन/व्यक्तिगत ऋण/कृषि ऋण/घर/दोपहिया/कार ऋण के लिए ऑनलाइन आवेदन/अनुरोध करें,",https://www.unionbankofindia.co.in/english/agriculture-loan.aspx
Short (finance),लघु (वित्त),https://en.wikipedia.org/wiki/Short_(finance)
Short (finance),लघु (वित्त),https://en.wikipedia.org/wiki/Short_(finance)
Interest rate,ब्याज दर,https://en.wikipedia.org/wiki/Interest_rate
Interest rate,ब्याज दर,https://en.wikipedia.org/wiki/Interest_rate
Apply for mutual fund,म्यूचुअल फंड के लिए आवेदन करें,https://www.bankbazaar.com/mutual-fund/how-to-invest-in-mutual-funds.html
Apply for mutual fund,म्यूचुअल फंड के लिए आवेदन करें,https://www.bankbazaar.com/mutual-fund/how-to-invest-in-mutual-funds.html
Loan guarantee,ऋण गारंटी,https://en.wikipedia.org/wiki/Loan_guarantee
Loan guarantee,ऋण गारंटी,https://en.wikipedia.org/wiki/Loan_guarantee
Coin,सिक्का,https://en.wikipedia.org/wiki/Coin
Coin,सिक्का,https://en.wikipedia.org/wiki/Coin
Share Capital,शेयर पूंजी,https://en.wikipedia.org/wiki/Share_capital
Share Capital,शेयर पूंजी,https://en.wikipedia.org/wiki/Share_capital
Blank cheque,कोरा चेक,https://en.wikipedia.org/wiki/Blank_cheque
Blank cheque,कोरा चेक,https://en.wikipedia.org/wiki/Blank_cheque
Bank account,बैंक खाता,https://en.wikipedia.org/wiki/Bank_account
Bank account,बैंक खाता,https://en.wikipedia.org/wiki/Bank_account
Select FD/RD/tax saving schemes to apply,लागू करने के लिए FD/RD/टैक्स बचत योजनाओं का चयन करें,https://cleartax.in/s/fixed-deposits
Select FD/RD/tax saving schemes to apply,लागू करने के लिए FD/RD/टैक्स बचत योजनाओं का चयन करें,https://cleartax.in/s/fixed-deposits
Buy Government's PMJJBY scheme,सरकार की PMJJBY योजना खरीदें,https://financialservices.gov.in/insurance-divisions/Government-Sponsored-Socially-Oriented-Insurance-Schemes/Pradhan-Mantri-Jeevan-Jyoti-Bima-Yojana(PMJJBY)
Buy Government's PMJJBY scheme,सरकार की PMJJBY योजना खरीदें,https://financialservices.gov.in/insurance-divisions/Government-Sponsored-Socially-Oriented-Insurance-Schemes/Pradhan-Mantri-Jeevan-Jyoti-Bima-Yojana(PMJJBY)
UPI Services: Pay by scanning QR code,UPI सेवाएं: QR कोड स्कैन करके भुगतान करें,https://paytm.com/blog/money-transfer/upi-money-transfer/scan-any-apps-upi-qr-from-paytm-to-make-payments/
UPI Services: Pay by scanning QR code,UPI सेवाएं: QR कोड स्कैन करके भुगतान करें,https://paytm.com/blog/money-transfer/upi-money-transfer/scan-any-apps-upi-qr-from-paytm-to-make-payments/
Fund Transfer,फंड ट्रांसफर,https://www.indiatoday.in/information/story/different-types-of-money-transfer-neft-rtgs-imps-and-more-1464289-2019-02-25
Fund Transfer,फंड ट्रांसफर,https://www.indiatoday.in/information/story/different-types-of-money-transfer-neft-rtgs-imps-and-more-1464289-2019-02-25
Electronic transfers,इलेक्ट्रॉनिक स्थानान्तरण,https://en.wikipedia.org/wiki/Electronic_funds_transfer
Electronic transfers,इलेक्ट्रॉनिक स्थानान्तरण,https://en.wikipedia.org/wiki/Electronic_funds_transfer
Money market,मुद्रा बाजार,https://en.wikipedia.org/wiki/Financial_capital#Money_market
Money market,मुद्रा बाजार,https://en.wikipedia.org/wiki/Financial_capital#Money_market
Economic effects of tax,कर के आर्थिक प्रभाव,https://en.wikipedia.org/wiki/Tax#Economic_effects
Economic effects of tax,कर के आर्थिक प्रभाव,https://en.wikipedia.org/wiki/Tax#Economic_effects
Depreciation,मूल्यह्रास,https://en.wikipedia.org/wiki/Depreciation
Depreciation,मूल्यह्रास,https://en.wikipedia.org/wiki/Depreciation
Financial market efficiency,वित्तीय बाजार दक्षता,https://en.wikipedia.org/wiki/Financial_market_efficiency
Financial market efficiency,वित्तीय बाजार दक्षता,https://en.wikipedia.org/wiki/Financial_market_efficiency
Stock exchange,शेयर बाजार,https://en.wikipedia.org/wiki/Stock_exchange
Stock exchange,शेयर बाजार,https://en.wikipedia.org/wiki/Stock_exchange
Pay cable TV/DTH/broadband/electricity/FASTag/Gas/landline/water bill,केबल टीवी/डीटीएच/ब्रॉडबैंड/बिजली/फास्टैग/गैस/लैंडलाइन/पानी के बिल का भुगतान करें,https://www.xpay.life/
Pay cable TV/DTH/broadband/electricity/FASTag/Gas/landline/water bill,केबल टीवी/डीटीएच/ब्रॉडबैंड/बिजली/फास्टैग/गैस/लैंडलाइन/पानी के बिल का भुगतान करें,https://www.xpay.life/
Account opening: Track application status,खाता खोलना: आवेदन की स्थिति को ट्रैक करें,https://buy.icicibank.com/track-application
Account opening: Track application status,खाता खोलना: आवेदन की स्थिति को ट्रैक करें,https://buy.icicibank.com/track-application
Mortgage loans,गिरवी रखकर लिया गया ऋण,https://en.wikipedia.org/wiki/Mortgage_loan
Mortgage loans,गिरवी रखकर लिया गया ऋण,https://en.wikipedia.org/wiki/Mortgage_loan
Debit,नामे,https://en.wikipedia.org/wiki/Debits_and_credits
Debit,नामे,https://en.wikipedia.org/wiki/Debits_and_credits
Chart of accounts,खातों का संचित्र,https://en.wikipedia.org/wiki/Chart_of_accounts
Chart of accounts,खातों का संचित्र,https://en.wikipedia.org/wiki/Chart_of_accounts
Liquidity,लिक्विडिटी,https://en.wikipedia.org/wiki/Liquidity
Liquidity,लिक्विडिटी,https://en.wikipedia.org/wiki/Liquidity
Disability insurance,विकलांगता बीमा,https://en.wikipedia.org/wiki/Disability_insurance
Disability insurance,विकलांगता बीमा,https://en.wikipedia.org/wiki/Disability_insurance
Inflation,मुद्रास्फीति,https://en.wikipedia.org/wiki/Inflation
Inflation,मुद्रास्फीति,https://en.wikipedia.org/wiki/Inflation
Pension,पेंशन,https://www.nutmeg.com/pensions/what-is-a-pension
Pension,पेंशन,https://www.nutmeg.com/pensions/what-is-a-pension
Get online loan application,ऑनलाइन ऋण आवेदन प्राप्त करें,https://www.fullertonindia.com/personal-loan.aspx
Get online loan application,ऑनलाइन ऋण आवेदन प्राप्त करें,https://www.fullertonindia.com/personal-loan.aspx
Finance,वित्त,https://en.wikipedia.org/wiki/Finance
Finance,वित्त,https://en.wikipedia.org/wiki/Finance
UPI Services: Add bank a/c details- select bank/enter OTP for SMS verification/enter ATM card details,यूपीआई सेवाएं: बैंक खाता विवरण जोड़ें- बैंक का चयन करें/एसएमएस सत्यापन के लिए ओटीपी दर्ज करें/एटीएम कार्ड विवरण दर्ज करें,https://support.google.com/pay/india/answer/9114589?hl=en
UPI Services: Add bank a/c details- select bank/enter OTP for SMS verification/enter ATM card details,यूपीआई सेवाएं: बैंक खाता विवरण जोड़ें- बैंक का चयन करें/एसएमएस सत्यापन के लिए ओटीपी दर्ज करें/एटीएम कार्ड विवरण दर्ज करें,https://support.google.com/pay/india/answer/9114589?hl=en
Bank statements,बैंक विवरण,https://en.wikipedia.org/wiki/Bank_statement
Bank statements,बैंक विवरण,https://en.wikipedia.org/wiki/Bank_statement
Time value of money,धन का सामयिक मूल्य,https://en.wikipedia.org/wiki/Time_value_of_money
Time value of money,धन का सामयिक मूल्य,https://en.wikipedia.org/wiki/Time_value_of_money
Annual income,वार्षिक आय,https://in.indeed.com/career-advice/pay-salary/what-is-annual-income
Annual income,वार्षिक आय,https://in.indeed.com/career-advice/pay-salary/what-is-annual-income
Financial analyst,वित्तीय विश्लेषक,https://en.wikipedia.org/wiki/Financial_analyst
Financial analyst,वित्तीय विश्लेषक,https://en.wikipedia.org/wiki/Financial_analyst
Preferred stock,पसंदीदा स्टॉक,https://en.wikipedia.org/wiki/Preferred_stock
Preferred stock,पसंदीदा स्टॉक,https://en.wikipedia.org/wiki/Preferred_stock
Atal Pension Yojna,अटल पेंशन योजना,https://en.wikipedia.org/w/index.php?title=Atal_Pension_Yojna&action=edit&redlink=1
Atal Pension Yojna,अटल पेंशन योजना,https://en.wikipedia.org/w/index.php?title=Atal_Pension_Yojna&action=edit&redlink=1
Crop insurance,फसल बीमा,https://en.wikipedia.org/wiki/Crop_insurance
Crop insurance,फसल बीमा,https://en.wikipedia.org/wiki/Crop_insurance
Open NPS a/c,एनपीएस खाता खोलें,https://enps.nsdl.com/eNPS/NationalPensionSystem.html
Open NPS a/c,एनपीएस खाता खोलें,https://enps.nsdl.com/eNPS/NationalPensionSystem.html
Union Bank,यूनियन बैंक,https://en.wikipedia.org/wiki/Banking_in_India#Union_Bank
Union Bank,यूनियन बैंक,https://en.wikipedia.org/wiki/Banking_in_India#Union_Bank
International finance,अंतर्राष्ट्रीय वित्त,https://www.ifc.org/
International finance,अंतर्राष्ट्रीय वित्त,https://www.ifc.org/
Online payment services,ऑनलाइन भुगतान सेवाएं,https://en.wikipedia.org/wiki/E-commerce_payment_system
Online payment services,ऑनलाइन भुगतान सेवाएं,https://en.wikipedia.org/wiki/E-commerce_payment_system
Margin (finance),मार्जिन (वित्त),https://en.wikipedia.org/wiki/Margin_(finance)
Margin (finance),मार्जिन (वित्त),https://en.wikipedia.org/wiki/Margin_(finance)
Capital market,पूंजी बाजार,https://en.wikipedia.org/wiki/Financial_capital#Capital_market
Capital market,पूंजी बाजार,https://en.wikipedia.org/wiki/Financial_capital#Capital_market
National Pension System,राष्ट्रीय पेंशन प्रणाली,https://en.wikipedia.org/wiki/National_Pension_System
National Pension System,राष्ट्रीय पेंशन प्रणाली,https://en.wikipedia.org/wiki/National_Pension_System
Deen Dayal Upadhyaya Antyodaya Yojana,दीन दयाल उपाध्याय अंत्योदय योजना,https://en.wikipedia.org/wiki/Deen_Dayal_Upadhyaya_Antyodaya_Yojana
Deen Dayal Upadhyaya Antyodaya Yojana,दीन दयाल उपाध्याय अंत्योदय योजना,https://en.wikipedia.org/wiki/Deen_Dayal_Upadhyaya_Antyodaya_Yojana
Other financial services,अन्य वित्तीय सेवाएं,https://en.wikipedia.org/wiki/Financial_services#Other_financial_services
Other financial services,अन्य वित्तीय सेवाएं,https://en.wikipedia.org/wiki/Financial_services#Other_financial_services
Leverage,लाभ लें,https://en.wikipedia.org/wiki/Leverage_(finance)
Leverage,लाभ लें,https://en.wikipedia.org/wiki/Leverage_(finance)
Cash flow,नकदी प्रवाह,https://en.wikipedia.org/wiki/Cash_flow
Cash flow,नकदी प्रवाह,https://en.wikipedia.org/wiki/Cash_flow
PNB,पीएनबी,https://en.wikipedia.org/wiki/Banking_in_India#PNB
PNB,पीएनबी,https://en.wikipedia.org/wiki/Banking_in_India#PNB
Financial careers,वित्तीय करियर,https://www.investopedia.com/articles/financial-careers/08/financial-career-options-professionals.asp
Financial careers,वित्तीय करियर,https://www.investopedia.com/articles/financial-careers/08/financial-career-options-professionals.asp
Financial economics,वित्तीय अर्थशास्त्र,https://en.wikipedia.org/wiki/Financial_economics
Financial economics,वित्तीय अर्थशास्त्र,https://en.wikipedia.org/wiki/Financial_economics
PayPal,पेपैल,https://en.wikipedia.org/wiki/PayPal
PayPal,पेपैल,https://en.wikipedia.org/wiki/PayPal
ATM cards,एटीएम कार्ड,https://en.wikipedia.org/wiki/ATM_card
ATM cards,एटीएम कार्ड,https://en.wikipedia.org/wiki/ATM_card
Passbook statements printing,पासबुक स्टेटमेंट प्रिंटिंग,https://www.timesnownews.com/business-economy/personal-finance/planning-investing/article/sbi-alert-how-to-print-and-view-passbook-online/530459
Passbook statements printing,पासबुक स्टेटमेंट प्रिंटिंग,https://www.timesnownews.com/business-economy/personal-finance/planning-investing/article/sbi-alert-how-to-print-and-view-passbook-online/530459
Hedge,बाड़ा,https://en.wikipedia.org/wiki/Hedge_(finance)
Hedge,बाड़ा,https://en.wikipedia.org/wiki/Hedge_(finance)
Securities,प्रतिभूति,https://en.wikipedia.org/wiki/Security_(finance)
Securities,प्रतिभूति,https://en.wikipedia.org/wiki/Security_(finance)
Ministry of finance,वित्त मंत्रित्व,https://finmin.nic.in/
Ministry of finance,वित्त मंत्रित्व,https://finmin.nic.in/
IBAN,इबानी,https://en.wikipedia.org/wiki/IBAN
IBAN,इबानी,https://en.wikipedia.org/wiki/IBAN
View virtual card,वर्चुअल कार्ड देखें,https://sbi.co.in/web/personal-banking/cards/debit-card/virtual-card
View virtual card,वर्चुअल कार्ड देखें,https://sbi.co.in/web/personal-banking/cards/debit-card/virtual-card
Rescual of Private Banks 2020's,निजी बैंकों का बचाव 2020,https://en.wikipedia.org/wiki/Banking_in_India#Rescual_of_Private_Banks_2020's
Rescual of Private Banks 2020's,निजी बैंकों का बचाव 2020,https://en.wikipedia.org/wiki/Banking_in_India#Rescual_of_Private_Banks_2020's
Financial markets,आर्थिक बाज़ार,https://en.wikipedia.org/wiki/Financial_market
Financial markets,आर्थिक बाज़ार,https://en.wikipedia.org/wiki/Financial_market
Debt diet,ऋण आहार,https://en.wikipedia.org/wiki/Debt_diet
Debt diet,ऋण आहार,https://en.wikipedia.org/wiki/Debt_diet
Health insurance,स्वास्थ्य बीमा,https://en.wikipedia.org/wiki/Health_insurance
Health insurance,स्वास्थ्य बीमा,https://en.wikipedia.org/wiki/Health_insurance
Institutional entrepreneurship,संस्थागत उद्यमिता,https://www.igi-global.com/dictionary/institutional-entrepreneurship-trust-and-regulatory-capture-in-the-digital-economy/66591
Institutional entrepreneurship,संस्थागत उद्यमिता,https://www.igi-global.com/dictionary/institutional-entrepreneurship-trust-and-regulatory-capture-in-the-digital-economy/66591
Reference rate,रेफर किये जाने की दर,https://en.wikipedia.org/wiki/Reference_rate
Reference rate,रेफर किये जाने की दर,https://en.wikipedia.org/wiki/Reference_rate
Hundi,हुंडी,https://en.wikipedia.org/wiki/Hundi
Hundi,हुंडी,https://en.wikipedia.org/wiki/Hundi
Investment banking,निवेश बैंकिंग,https://en.wikipedia.org/wiki/Investment_banking
Investment banking,निवेश बैंकिंग,https://en.wikipedia.org/wiki/Investment_banking
Stock,भंडार,https://en.wikipedia.org/wiki/Stock
Stock,भंडार,https://en.wikipedia.org/wiki/Stock
Register for net banking,नेट बैंकिंग के लिए रजिस्टर करें,https://netbanking.hdfcbank.com/netbanking/registrationUsingOTP.htm
Register for net banking,नेट बैंकिंग के लिए रजिस्टर करें,https://netbanking.hdfcbank.com/netbanking/registrationUsingOTP.htm
Bond markets,बांड बाजार,https://en.wikipedia.org/wiki/Bond_market
Bond markets,बांड बाजार,https://en.wikipedia.org/wiki/Bond_market
Immediate Payment Service (IMPS),तत्काल भुगतान सेवा (आईएमपीएस),https://www.npci.org.in/what-we-do/imps/product-overview
Immediate Payment Service (IMPS),तत्काल भुगतान सेवा (आईएमपीएस),https://www.npci.org.in/what-we-do/imps/product-overview
Discounting,छूट,https://en.wikipedia.org/wiki/Discounting
Discounting,छूट,https://en.wikipedia.org/wiki/Discounting
Pay your due bills,अपने बकाया बिलों का भुगतान करें,https://paytm.com/electricity-bill-payment
Pay your due bills,अपने बकाया बिलों का भुगतान करें,https://paytm.com/electricity-bill-payment
Financial modeling,वित्तीय मानक स्थापित करना,https://en.wikipedia.org/wiki/Financial_modeling
Financial modeling,वित्तीय मानक स्थापित करना,https://en.wikipedia.org/wiki/Financial_modeling
Donations,दान,https://en.wikipedia.org/wiki/Donation
Donations,दान,https://en.wikipedia.org/wiki/Donation
Payroll,पेरोल,https://en.wikipedia.org/wiki/Payroll
Payroll,पेरोल,https://en.wikipedia.org/wiki/Payroll
Paytm,Paytm,https://en.wikipedia.org/wiki/Paytm
Paytm,Paytm,https://en.wikipedia.org/wiki/Paytm
Countries tax rate,देश कर की दर,https://en.wikipedia.org/wiki/List_of_countries_by_tax_rates
Countries tax rate,देश कर की दर,https://en.wikipedia.org/wiki/List_of_countries_by_tax_rates
Casualty insurance,दुर्घटना बीमा,https://en.wikipedia.org/wiki/Casualty_insurance
Casualty insurance,दुर्घटना बीमा,https://en.wikipedia.org/wiki/Casualty_insurance
Registered share,पंजीकृत शेयर,https://en.wikipedia.org/wiki/Registered_share
Registered share,पंजीकृत शेयर,https://en.wikipedia.org/wiki/Registered_share
Universal bank,यूनिवर्सल बैंक,https://en.wikipedia.org/wiki/Universal_bank
Universal bank,यूनिवर्सल बैंक,https://en.wikipedia.org/wiki/Universal_bank
Banknote,नोट,https://en.wikipedia.org/wiki/Banknote
Banknote,नोट,https://en.wikipedia.org/wiki/Banknote
Demand deposit,मांग पर जमा,https://en.wikipedia.org/wiki/Demand_deposit
Demand deposit,मांग पर जमा,https://en.wikipedia.org/wiki/Demand_deposit
Get login ID & password for net banking,नेट बैंकिंग के लिए लॉगिन आईडी और पासवर्ड प्राप्त करें,https://www.quora.com/How-do-I-receive-username-and-password-for-net-banking
Get login ID & password for net banking,नेट बैंकिंग के लिए लॉगिन आईडी और पासवर्ड प्राप्त करें,https://www.quora.com/How-do-I-receive-username-and-password-for-net-banking
Salary,वेतन,https://en.wikipedia.org/wiki/Salary
Salary,वेतन,https://en.wikipedia.org/wiki/Salary
Update KYC with Aadhar during a/c opening,खाता खोलने के दौरान आधार के साथ केवाईसी अपडेट करें,https://www.indiainfoline.com/knowledge-center/kyc/how-to-update-kyc-details
Update KYC with Aadhar during a/c opening,खाता खोलने के दौरान आधार के साथ केवाईसी अपडेट करें,https://www.indiainfoline.com/knowledge-center/kyc/how-to-update-kyc-details
Future value,भविष्य मूल्य,https://en.wikipedia.org/wiki/Future_value
Future value,भविष्य मूल्य,https://en.wikipedia.org/wiki/Future_value
Debt of developing countries,विकासशील देशों का कर्ज,https://en.wikipedia.org/wiki/Debt_of_developing_countries
Debt of developing countries,विकासशील देशों का कर्ज,https://en.wikipedia.org/wiki/Debt_of_developing_countries
Debit/ credit cards: View due date,डेबिट/क्रेडिट कार्ड: देय तिथि देखें,https://www.bankbazaar.com/credit-card/credit-card-billing-cycle.html
Debit/ credit cards: View due date,डेबिट/क्रेडिट कार्ड: देय तिथि देखें,https://www.bankbazaar.com/credit-card/credit-card-billing-cycle.html
View and delete beneficiaries,लाभार्थियों को देखें और हटाएं,https://www.quora.com/How-do-I-delete-an-added-beneficiary-account-from-the-HDFC-bank-account
View and delete beneficiaries,लाभार्थियों को देखें और हटाएं,https://www.quora.com/How-do-I-delete-an-added-beneficiary-account-from-the-HDFC-bank-account
